,city,hot,num,level_sum
301,通辽,1.0,138,8
302,遂宁,0.92,18,1
303,遵义,13.26,1683,37
304,邢台,4.859999999999999,190,11
305,那曲,5.98,460,15
306,邯郸,6.119999999999999,649,17
307,邵阳,1.0,68,2
308,郑州,9.48,14060,42
309,郴州,5.64,688,14
310,鄂尔多斯,6.96,1277,27
311,酒泉,10.499999999999998,4125,33
312,重庆,37.32,17915,195
313,金华,5.34,4550,23
314,金昌,0.0,76,2
315,钦州,1.74,83,3
316,铁岭,0.0,89,2
317,铜仁,2.48,1978,22
318,铜川,1.0,6,1
319,铜陵,1.0,39,1
320,银川,22.65999999999999,2659,122
321,锡林郭勒盟,0.0,160,9
322,锦州,4.98,249,9
323,镇江,5.02,546,10
324,长春,7.4,1682,48
325,长沙,11.539999999999997,5572,57
326,长治,7.4799999999999995,961,19
327,阜新,1.8599999999999999,133,4
328,阜阳,0.92,256,4
329,防城港,1.82,226,9
330,阳江,1.6600000000000001,438,3
331,阳泉,2.56,348,8
332,阿克苏地区,4.819999999999999,691,16
333,阿勒泰,4.6,1851,8
334,阿坝藏族羌族自治州,9.48,1658,19
335,阿拉善盟,0.0,645,16
336,阿拉尔,0.0,0,1
337,阿里,7.920000000000001,506,12
338,陇南,6.76,36,12
339,陵水,2.0,992,7
340,随州,0.98,159,5
341,雅安,1.62,630,5
342,青岛,9.08,7392,40
343,鞍山,3.58,297,7
344,韶关,2.5,520,5
345,香港,33.95999999999998,14166,185
346,马鞍山,1.92,209,3
347,驻马店,0.7,50,5
348,高雄,3.0999999999999996,1357,22
349,鸡西,0.0,235,4
350,鹤壁,0.0,38,3
351,鹤岗,0.0,0,1
352,鹰潭,0.7,478,5
353,黄冈,5.0600000000000005,894,11
354,黄南藏族自治州,1.8800000000000001,74,2
355,黄山,17.459999999999997,19750,55
356,黄石,1.74,98,4
357,黑河,1.7,207,7
358,黔东南,8.68,1880,24
359,黔南,6.04,1964,23
360,黔西南,3.8599999999999994,648,9
361,齐齐哈尔,2.56,358,10
362,龙岩,4.52,472,14
